"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Altar's Reap","m14","Near Mint","English","","","2024-07-24 04:31:29.793000","84","False","False",""
"1","1","Ancient Craving","voc","Near Mint","English","","","2024-07-24 04:30:01.380000","117","False","False",""
"1","1","Arcane Signet","woc","Near Mint","English","","","2024-07-24 04:20:27.153000","145","False","False",""
"1","1","Basilica Guards","rvr","Near Mint","English","","","2024-07-22 23:05:17.363000","7","False","False",""
"1","1","Basilica Screecher","clu","Near Mint","English","","","2024-07-22 23:04:28.110000","105","False","False",""
"1","1","Burnished Hart","m3c","Near Mint","English","","","2024-07-24 04:58:09.680000","284","False","False",""
"1","1","Cleric Class","afr","Near Mint","English","","","2024-07-22 23:05:49.040000","6","False","False",""
"1","1","Commander's Sphere","lcc","Near Mint","English","","","2024-07-24 04:56:57.660000","301","False","False",""
"1","1","Crypt Ghast","rvr","Near Mint","English","","","2024-07-22 23:04:25.190000","322","False","False",""
"1","1","Darksteel Ingot","cmm","Near Mint","English","","","2024-07-24 04:44:09.700000","378","False","False",""
"1","1","Dawn to Dusk","bng","Near Mint","English","","","2024-07-23 20:10:45.267000","6","False","False",""
"1","1","Debt to the Deathless","rvr","Near Mint","English","","","2024-07-22 23:04:34.403000","364","False","False",""
"1","1","Despark","clb","Near Mint","English","","","2024-07-24 04:43:10.643000","841","False","False",""
"1","1","Diabolic Tutor","pw24","Near Mint","English","foil","","2024-07-23 05:31:10.267000","13","False","False",""
"1","1","Dire Tactics","iko","Near Mint","English","","","2024-07-24 04:43:38.903000","183","False","False",""
"1","1","Doom Blade","gn3","Near Mint","English","","","2024-07-22 23:04:46.660000","47","False","False",""
"1","1","Due Respect","nph","Near Mint","English","","","2024-07-24 04:36:03.583000","8","False","False",""
"1","1","Elas il-Kor, Sadistic Pilgrim","dmu","Near Mint","English","","","2024-07-24 04:51:35.777000","297","False","False",""
"1","1","Exquisite Blood","lcc","Near Mint","English","","","2024-07-22 23:04:52.093000","195","False","False",""
"1","1","Extraplanar Lens","cmm","Near Mint","English","","","2024-07-23 20:04:21.560000","656","False","False",""
"1","1","Ghastly Demise","cmr","Near Mint","English","","","2024-07-24 04:32:14.750000","129","False","False",""
"1","1","Herald of Secret Streams","xln","Near Mint","English","","","2023-07-14 06:27:28.380000","59","False","True",""
"1","1","Immortal Servitude","gtc","Near Mint","English","","","2024-07-22 23:06:00.757000","220","False","False",""
"1","1","Kambal, Consul of Allocation","2x2","Near Mint","English","","","2024-07-24 04:51:22.200000","237","False","False",""
"1","1","Kindred Discovery","clb","Near Mint","English","","","2023-07-14 06:13:02.850000","565","False","True",""
"1","1","Kingpin's Pet","gtc","Near Mint","English","","","2024-07-22 23:05:08.527000","173","False","False",""
"1","1","Knight of Obligation","gtc","Near Mint","English","","","2024-07-22 23:05:35.080000","18","False","False",""
"1","1","Legions to Ashes","bro","Near Mint","English","","","2024-07-24 04:52:10.320000","215","False","False",""
"1","1","Marauding Blight-Priest","znr","Near Mint","English","","","2024-07-23 20:01:13.600000","112","False","False",""
"1","1","Markov Purifier","vow","Near Mint","English","","","2024-07-24 04:52:44.563000","312","False","False",""
"1","1","Master of the Pearl Trident","ddt","Near Mint","English","","","2023-07-14 06:26:56.890000","9","False","True",""
"1","1","Merciless Eviction","dmc","Near Mint","English","","","2024-07-24 04:53:54.570000","160","False","False",""
"1","1","Mind Stone","who","Near Mint","English","","","2024-07-24 05:13:31.853000","244","False","False",""
"1","1","Murder","mkm","Near Mint","English","","","2024-07-22 23:06:14.717000","95","False","False",""
"1","1","Orzhov Cluestone","dgm","Near Mint","English","","","2024-07-24 04:44:28.530000","142","False","False",""
"1","1","Orzhov Guildgate","rna","Near Mint","English","","","2024-07-22 23:04:08.340000","253","False","False",""
"1","1","Path to Exile","acr","Near Mint","English","","","2024-07-23 21:20:11.660000","81","False","False",""
"14","14","Plains","lci","Near Mint","English","","","2024-07-22 23:04:00.700000","393","False","False",""
"1","1","Plea for Guidance","bng","Near Mint","English","","","2024-07-23 05:31:28.483000","24","False","False",""
"1","1","Read the Bones","ori","Near Mint","English","","","2024-07-24 04:29:20.383000","114","False","False",""
"1","1","Reckless Spite","woc","Near Mint","English","","","2024-07-24 05:17:19.057000","117","False","False",""
